resolver v4 sha256:24809ecd48b410ce656229cda4a87191256f25642f164844d465b1a581a925f9
manifest sha256:29cf2b0ce1af2c9b08711d4aca0a7177f41fcb77d40d68904f170fa6abd41c7e
registry sha256:fffdc910bf95986a549244388a6914211034a5478daf0dea1860b6be7a51f404
lane Φ1A-L1 · cluster-roots ['source']
dossier experiment/phase1a/source.sexp sha256:dd3ce7cc6bd973d284dd00adb417afa3e1030bcdca9da32997b435fb4c5e8aef
παραπομπές: 286 · λύθηκαν: 3 · ΠΡΟΒΛΗΜΑΤΙΚΕΣ: 283
  ✗ [experiment/phase1a/source.sexp] legal-strategy.lisp:32-41 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] generation.lisp:50-63 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] legal-strategy.lisp:87-91 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] legal-deontic.lisp:169-183 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] akoma-ntoso-emitter.lisp:46-53 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] akoma-ntoso-emitter.lisp:71-80 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] consolidation-engine.lisp:93 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] consolidation-bridge.lisp:71 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] greek-legislation-ontology.lisp:87-98 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] legal-conflict-resolution.lisp:44-60 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] legal-hypergraph.lisp:186-192 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] greek-legislation-ontology.lisp:208-212 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] legal-hypergraph.lisp:46-62 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] legal-reasoning-bridge.lisp:96-170 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] execution-trace.lisp:116-118 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] corpus-sparql.lisp:42-60 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] legal-counterfactual.lisp:9-12 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
